Dados obtidos a partir do Sistema de Informação de Solos Brasileiros - BDSOLOS, esclarecimentos quanto ao uso disponível em:  http://www.bdsolos.cnptia.embrapa.br/esclarecimentos_uso.pdf

"Localização descritiva";"UF";"Município";"Altitude (m)";"Sistema de Coordenada";"Datum";"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Latitude Hemisfério";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Longitude Hemisfério";"Northing";"Easting";"pH - H2O";"pH - KCl";"pH - CaCl2";"Complexo Sortivo - Cálcio (cmolc/kg)";"Complexo Sortivo - Magnésio";"Complexo Sortivo - Ca + Mg";"Complexo Sortivo - Potássio";"Complexo Sortivo - Sódio";"Complexo Sortivo - Valor S (Ca2++Mg2++K++Na+)";"Complexo Sortivo - Hidrogênio (H+)";"Complexo Sortivo - Alumínio Trocável (Al3+)";"Complexo Sortivo - Valor T (S+H++Al3+)";"Complexo Sortivo - Valor V &Delta; Saturação por Bases (100. S/T)%";"Complexo Sortivo - Saturação por Alumínio (100. Al3+/S+Al3+)%";"Ataque sulfúrico - SiO2";"Ataque sulfúrico - Al2O3";"Ataque sulfúrico - Fe2O3";"Ataque sulfúrico - TiO2";"Ataque sulfúrico - P2O5";"Ataque sulfúrico - MnO";"Ataque sulfúrico - SiO2 / Al2O3 (Ki)";"Ataque sulfúrico - SiO2 / R2O3 (Kr)";"Ataque sulfúrico - Al2O3 / Fe2O3";"Fósforo assimilável (mg/kg)";"Carbono orgânico";"Nitrogênio total";"Relação C/N (%)";"Água da pasta de saturação";"Saturação por Sódio (100.Na+/T)";"Condutividade Elétrica";"Sais Solúveis do Extrato da Saturação - Cálcio";"Sais Solúveis do Extrato da Saturação - Magnésio";"Sais Solúveis do Extrato da Saturação - Potássio";"Sais Solúveis do Extrato da Saturação - Sódio";"Sais Solúveis do Extrato da Saturação - Carbonatos";"Sais Solúveis do Extrato da Saturação - Cloretos";"Sais Solúveis do Extrato da Saturação - Bicarbonatos";"Sais Solúveis do Extrato da Saturação - Sulfatos";"Ponto de Carga Zero";"Adsorção de Fosfato";"Enxofre";"Equivalente de Carbonato de Cálcio";"CDB - Ferro (g/kg)";"CDB - Alumínio (g/kg)";"CDB - Manganês (g/kg)";"Oxalato de Amônio - Ferro";"Oxalato de Amônio - Alumínio";"Oxalato de Amônio - Sílica";"Pirofosfato de Sódio - Ferro";"Pirofosfato de Sódio - Alumínio";"Microelementos - Ferro";"Microelementos - Manganês";"Microelementos - Cobre";"Microelementos - Zinco";"Microelementos - Níquel";"Microelementos - Boro";"Microelementos - Molibidênio";"Microelementos - Cobalto";"Microelementos - Cádmio";"Microelementos - Cromo";"Microelementos - Selênio";"Microelementos - Chumbo";"Microelementos - Mercúrio";"Microelementos - Arsênio";"Microelementos - Silício";"Informações adicionais da análise química";
"A 13 km após o rio das Mortes, na estrada Nova Xavantina -Barra do Garças. COORDENADAS - 14°45?55'' S e 52º19?36'' WGr.
";"MT";"Barra do Garças";"";"Latitude / Longitude";"";"14";"45";"55";"Sul";"52";"19";"36";"Oeste";"";"";"4.4";"4.1";"";"0.2";"0.2";"";"0.02";"0.01";"0.2";"1.5";"1.5";"3.2";"6";"88";"";"";"";"";"";"";"";"";"";"1";"1.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 2.6";
"A 13 km após o rio das Mortes, na estrada Nova Xavantina -Barra do Garças. COORDENADAS - 14°45?55'' S e 52º19?36'' WGr.
";"MT";"Barra do Garças";"";"Latitude / Longitude";"";"14";"45";"55";"Sul";"52";"19";"36";"Oeste";"";"";"4.3";"4.1";"";"0.3";"0.3";"";"0.03";"0.01";"0.3";"1.6";"1.4";"3.3";"9";"82";"93";"92";"10";"4";"";"";"1.72";"1.61";"14.4";"1";"2.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 4.5";
"A 13 km após o rio das Mortes, na estrada Nova Xavantina -Barra do Garças. COORDENADAS - 14°45?55'' S e 52º19?36'' WGr.
";"MT";"Barra do Garças";"";"Latitude / Longitude";"";"14";"45";"55";"Sul";"52";"19";"36";"Oeste";"";"";"4.7";"4";"";"0.2";"0.2";"";"0.04";"0.01";"0.2";"2";"1.3";"3.5";"6";"87";"";"";"";"";"";"";"";"";"";"1";"4.2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 7.2";
"A 13 km após o rio das Mortes, na estrada Nova Xavantina -Barra do Garças. COORDENADAS - 14°45?55'' S e 52º19?36'' WGr.
";"MT";"Barra do Garças";"";"Latitude / Longitude";"";"14";"45";"55";"Sul";"52";"19";"36";"Oeste";"";"";"4.4";"4";"";"0.5";"0.5";"";"0.07";"0.01";"0.6";"2.2";"1.1";"3.9";"15";"64";"";"";"";"";"";"";"";"";"";"1";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 8.6";
"A 100m do córrego Cristalino e a 54,4 km do Rio das Mortes, em direção a Cocalinho. Município de Cocalinho ? MT. 14o 12' 52'' S e 51o 18'34''WGr.
";"MT";"Cocalinho";"";"Latitude / Longitude";"";"14";"12";"52";"Sul";"51";"18";"34";"Oeste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"estrada Brasnorte?Juruena, a 88km de Brasnorte e a 6km antes da balsa sobre o rio Juruena. Município de Juruena, MT.";"MT";"Juruena";"300";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.1";"4.9";"";"";"";"0.1";"0.02";"0.05";"0.2";"0.3";"0";"0.5";"40";"0";"27";"18";"10";"1.8";"";"";"2.56";"1.89";"2.84";"1";"1";"0.2";"5";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"estrada Brasnorte?Juína, a 14km do rio Juruena.
Município de Juruena, MT.";"MT";"Juruena";"400";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.2";"4.7";"";"";"";"0.1";"0.01";"0.02";"0.1";"0.9";"0.3";"1.3";"8";"75";"97";"106";"42";"4.1";"";"";"1.56";"1.24";"3.97";"<1";"2.3";"0.4";"6";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"estrada Juína?Castanheira, a aproximadamente 35km
da primeira. Município de Juína, MT.";"MT";"Juína";"380";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.9";"5.3";"";"4.4";"0.8";"";"0.24";"0.05";"5.5";"0.8";"0";"6.3";"87";"0";"102";"97";"48";"6.7";"";"";"1.79";"1.36";"3.17";"2";"11.2";"1.5";"7";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"estrada Juína?Castanheira, a aproximadamente 35km
da primeira. Município de Juína, MT.";"MT";"Juína";"380";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"estrada Juína?Castanheira, a aproximadamente 35km
da primeira. Município de Juína, MT.";"MT";"Juína";"380";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"6";"5.4";"";"1.2";"0.5";"";"0.28";"0.03";"2";"0.5";"0";"2.5";"80";"0";"172";"194";"66";"8.2";"";"";"1.51";"1.24";"4.62";"<1";"2.5";"0.5";"5";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
