Dados obtidos a partir do Sistema de Informação de Solos Brasileiros - BDSOLOS, esclarecimentos quanto ao uso disponível em:  http://www.bdsolos.cnptia.embrapa.br/esclarecimentos_uso.pdf

"Localização descritiva";"UF";"Município";"Altitude (m)";"Sistema de Coordenada";"Datum";"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Latitude Hemisfério";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Longitude Hemisfério";"Northing";"Easting";"pH - H2O";"pH - KCl";"pH - CaCl2";"Complexo Sortivo - Cálcio (cmolc/kg)";"Complexo Sortivo - Magnésio";"Complexo Sortivo - Ca + Mg";"Complexo Sortivo - Potássio";"Complexo Sortivo - Sódio";"Complexo Sortivo - Valor S (Ca2++Mg2++K++Na+)";"Complexo Sortivo - Hidrogênio (H+)";"Complexo Sortivo - Alumínio Trocável (Al3+)";"Complexo Sortivo - Valor T (S+H++Al3+)";"Complexo Sortivo - Valor V &Delta; Saturação por Bases (100. S/T)%";"Complexo Sortivo - Saturação por Alumínio (100. Al3+/S+Al3+)%";"Ataque sulfúrico - SiO2";"Ataque sulfúrico - Al2O3";"Ataque sulfúrico - Fe2O3";"Ataque sulfúrico - TiO2";"Ataque sulfúrico - P2O5";"Ataque sulfúrico - MnO";"Ataque sulfúrico - SiO2 / Al2O3 (Ki)";"Ataque sulfúrico - SiO2 / R2O3 (Kr)";"Ataque sulfúrico - Al2O3 / Fe2O3";"Fósforo assimilável (mg/kg)";"Carbono orgânico";"Nitrogênio total";"Relação C/N (%)";"Água da pasta de saturação";"Saturação por Sódio (100.Na+/T)";"Condutividade Elétrica";"Sais Solúveis do Extrato da Saturação - Cálcio";"Sais Solúveis do Extrato da Saturação - Magnésio";"Sais Solúveis do Extrato da Saturação - Potássio";"Sais Solúveis do Extrato da Saturação - Sódio";"Sais Solúveis do Extrato da Saturação - Carbonatos";"Sais Solúveis do Extrato da Saturação - Cloretos";"Sais Solúveis do Extrato da Saturação - Bicarbonatos";"Sais Solúveis do Extrato da Saturação - Sulfatos";"Ponto de Carga Zero";"Adsorção de Fosfato";"Enxofre";"Equivalente de Carbonato de Cálcio";"CDB - Ferro (g/kg)";"CDB - Alumínio (g/kg)";"CDB - Manganês (g/kg)";"Oxalato de Amônio - Ferro";"Oxalato de Amônio - Alumínio";"Oxalato de Amônio - Sílica";"Pirofosfato de Sódio - Ferro";"Pirofosfato de Sódio - Alumínio";"Microelementos - Ferro";"Microelementos - Manganês";"Microelementos - Cobre";"Microelementos - Zinco";"Microelementos - Níquel";"Microelementos - Boro";"Microelementos - Molibidênio";"Microelementos - Cobalto";"Microelementos - Cádmio";"Microelementos - Cromo";"Microelementos - Selênio";"Microelementos - Chumbo";"Microelementos - Mercúrio";"Microelementos - Arsênio";"Microelementos - Silício";"Informações adicionais da análise química";
"A 15 km de Campina, na estrada Cuiabá-Cáceres, em direção a Cáceres. Cáceres, MT.";"MT";"Cáceres";"310";"Latitude / Longitude";"";"16";"20";"0";"Sul";"57";"28";"0";"Oeste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Barra do Bugres-Tapirapuã, a 50 km de Barra do Bugres. Município de Barra do Bugres. Mato Grosso.";"MT";"Barra do Bugres";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"3.9";"3.5";"";"";"";"0.3";"0.02";"0.02";"0.3";"2.7";"0.9";"3.9";"8";"75";"26";"25";"8";"1.8";"0.1";"";"1.77";"1.47";"4.91";"2";"9.5";"0.5";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Barra do Bugres-Tapirapuã, a 50 km de Barra do Bugres. Município de Barra do Bugres. Mato Grosso.";"MT";"Barra do Bugres";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"4.7";"4";"";"";"";"0.3";"0.02";"0.02";"0.3";"1.5";"0.6";"2.4";"13";"67";"38";"42";"10";"2.9";"0.1";"";"1.54";"1.34";"6.59";"2";"2.4";"0.2";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Rondonópolis-Poxoréu a 60 km de Rondonópolis, lado direito a 200 m da estrada. Município de Poxoréu. Mato Grosso.";"MT";"Poxoréo";"560";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.5";"4.1";"";"1.2";"0.2";"1.4";"0.08";"0.03";"1.5";"2.3";"1.2";"5";"30";"44";"20";"19";"5";"1";"0.1";"";"1.74";"1.5";"6.33";"2";"6.3";"0.4";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Rondonópolis-Poxoréu a 60 km de Rondonópolis, lado direito a 200 m da estrada. Município de Poxoréu. Mato Grosso.";"MT";"Poxoréo";"560";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.4";"4.3";"";"";"";"0.2";"0.03";"0.01";"0.2";"2";"0.5";"2.7";"7";"71";"20";"21";"6";"1";"0.1";"";"1.57";"1.32";"5.25";"2";"3.7";"0.3";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Rondonópolis-Poxoréu a 60 km de Rondonópolis, lado direito a 200 m da estrada. Município de Poxoréu. Mato Grosso.";"MT";"Poxoréo";"560";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.6";"4.3";"";"";"";"0.2";"0.03";"0.01";"0.2";"1.3";"0.6";"2.1";"10";"75";"24";"26";"8";"1";"0.1";"";"1.57";"1.31";"5.1";"1";"2.1";"0.2";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Rondonópolis-Poxoréu a 60 km de Rondonópolis, lado direito a 200 m da estrada. Município de Poxoréu. Mato Grosso.";"MT";"Poxoréo";"560";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.6";"4.4";"";"";"";"0.2";"0.01";"0.02";"0.2";"0.6";"0.3";"1.1";"18";"60";"32";"34";"10";"1.3";"0.1";"";"1.6";"1.35";"5.5";"1";"1.1";"0.1";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"km 49 da estrada Jaciara-São Vicente, lado esquerdo da estrada, na serra dos Coroados. Município de Cuiabá. Mato Grosso.";"MT";"Cuiabá";"860";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.2";"4.1";"";"";"";"0.2";"0.04";"0";"0.2";"2.2";"0.8";"3.2";"6";"80";"10";"33";"39";"1.6";"0.3";"";"0.52";"0.29";"1.33";"1";"4.5";"0.3";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"km 49 da estrada Jaciara-São Vicente, lado esquerdo da estrada, na serra dos Coroados. Município de Cuiabá. Mato Grosso.";"MT";"Cuiabá";"860";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.3";"4.3";"";"";"";"0.2";"0.03";"0";"0.2";"2";"0.4";"2.6";"8";"67";"8";"31";"42";"1.5";"0.3";"";"0.44";"0.24";"1.16";"2";"3";"0.2";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"km 49 da estrada Jaciara-São Vicente, lado esquerdo da estrada, na serra dos Coroados. Município de Cuiabá. Mato Grosso.";"MT";"Cuiabá";"860";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.5";"4.5";"";"";"";"0.2";"0.02";"0";"0.2";"1.7";"0.4";"2.3";"9";"67";"9";"49";"40";"1.9";"0.3";"";"0.31";"0.21";"1.92";"1";"2.3";"0.2";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"km 49 da estrada Jaciara-São Vicente, lado esquerdo da estrada, na serra dos Coroados. Município de Cuiabá. Mato Grosso.";"MT";"Cuiabá";"860";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.9";"4.7";"";"";"";"0.2";"0.03";"0";"0.2";"1.2";"0.2";"1.6";"13";"50";"13";"64";"40";"2.4";"0.3";"";"0.35";"0.25";"2.51";"1";"1.6";"0.1";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BR-29 entre Rosário Oeste e Vilhena, 7 km depois de Nobres. Município de Rosário Oeste. Mato Grosso.";"MT";"Rosário Oeste";"400";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.9";"5.3";"";"14.8";"4.5";"19.3";"0.24";"0.06";"19.6";"3.6";"0";"23.2";"84";"0";"118";"99";"38";"3.5";"0.9";"";"2.03";"1.63";"4.09";"8";"17.8";"1.4";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BR-29 entre Rosário Oeste e Vilhena, 7 km depois de Nobres. Município de Rosário Oeste. Mato Grosso.";"MT";"Rosário Oeste";"400";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"6.7";"5.6";"";"11.4";"4.9";"16.3";"0.12";"0.09";"16.5";"15";"0";"18";"92";"0";"207";"184";"58";"4.5";"0.6";"";"1.91";"1.59";"4.98";"3";"7.8";"0.8";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BR-29 entre Rosário Oeste e Vilhena, 7 km depois de Nobres. Município de Rosário Oeste. Mato Grosso.";"MT";"Rosário Oeste";"400";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"6.8";"6";"";"9.2";"4";"13.2";"0.09";"0.09";"13.4";"0.6";"0";"14";"96";"0";"192";"167";"54";"4";"0.5";"";"1.95";"1.62";"4.86";"4";"4.8";"0.3";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Cuiabá-São Vicente, km 50, lado esquerdo, a 200 m da mesma. Município de Cuiabá. Mata Grosso.";"MT";"Cuiabá";"280";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"4.4";"4.3";"";"";"";"0.5";"0.13";"0.04";"0.7";"3.7";"1.9";"6.3";"11";"73";"102";"87";"13";"3.4";"0.3";"";"1.99";"1.82";"10.51";"3";"12.7";"1.9";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Cuiabá-São Vicente, km 50, lado esquerdo, a 200 m da mesma. Município de Cuiabá. Mata Grosso.";"MT";"Cuiabá";"280";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"4.8";"4.2";"";"";"";"0.5";"0.13";"0.04";"0.7";"1.9";"1.9";"4.5";"16";"73";"126";"109";"45";"2.8";"0.3";"";"1.97";"1.56";"3.8";"2";"3.9";"0.6";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Cuiabá-São Vicente, km 50, lado esquerdo, a 200 m da mesma. Município de Cuiabá. Mata Grosso.";"MT";"Cuiabá";"280";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.3";"4";"";"";"";"0.3";"0.04";"0.04";"0.4";"2";"4.4";"6.8";"6";"92";"210";"171";"74";"3.5";"0.2";"";"2.09";"1.64";"3.63";"2";"1.8";"0.4";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Cuiabá-São Vicente, km 50, lado esquerdo, a 200 m da mesma. Município de Cuiabá. Mata Grosso.";"MT";"Cuiabá";"280";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.4";"4";"";"";"";"0.3";"0.04";"0.05";"0.4";"1.3";"5";"6.7";"6";"93";"213";"168";"48";"2.4";"0.2";"";"2.16";"1.82";"5.5";"1";"1";"0.3";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Cuiabá-São Vicente, km 50, lado esquerdo, a 200 m da mesma. Município de Cuiabá. Mata Grosso.";"MT";"Cuiabá";"280";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.6";"4";"";"";"";"0.4";"0.07";"0.07";"0.5";"1.7";"4.1";"6.3";"8";"89";"219";"171";"67";"3.1";"0.2";"";"2.18";"1.74";"4.01";"1";"1.5";"0.4";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Cuiabá-São Vicente, km 50, lado esquerdo, a 200 m da mesma. Município de Cuiabá. Mata Grosso.";"MT";"Cuiabá";"280";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.7";"4";"";"";"";"0.5";"0.04";"0.05";"0.6";"2.4";"3.8";"6.8";"9";"86";"193";"154";"100";"3.1";"0.2";"";"2.13";"1.51";"2.22";"1";"0.6";"0.2";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Barra do Bugres-Cuiabá, a 71 km de Barra dos Bugres, lado direito da estrada. Município Barra dos Bugres. Mato Grosso.";"MT";"Barra do Bugres";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"6.2";"5.2";"";"4.5";"2.1";"6.6";"0.04";"0.02";"6.7";"3.3";"0";"10";"67";"0";"189";"139";"105";"5.5";"0.8";"";"2.31";"1.56";"2.08";"4";"16.1";"1.2";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Barra do Bugres-Cuiabá, a 71 km de Barra dos Bugres, lado direito da estrada. Município Barra dos Bugres. Mato Grosso.";"MT";"Barra do Bugres";"";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.5";"4.2";"";"1.5";"0.7";"2.2";"0.21";"0.02";"2.4";"2.2";"1.7";"6.3";"38";"41";"268";"195";"106";"6.9";"0.5";"";"2.34";"1.74";"2.89";"1";"5";"0.5";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BR-29, entre Rosário-Oeste e Vilhena, 43 km antes da Pensão do Alemão. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.2";"4.3";"";"";"";"0.7";"0.07";"0.07";"0.8";"7.3";"0.7";"8.8";"9";"47";"63";"293";"210";"16.9";"0.7";"";"0.37";"0.25";"2.19";"1";"20.8";"1.1";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BR-29, entre Rosário-Oeste e Vilhena, 43 km antes da Pensão do Alemão. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.4";"4.5";"";"";"";"0.6";"0.03";"0.07";"0.7";"5.1";"0.3";"6.1";"11";"30";"62";"310";"217";"17.5";"0.6";"";"0.34";"0.24";"2.24";"1";"13.7";"0.8";"17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BR-29, entre Rosário-Oeste e Vilhena, 43 km antes da Pensão do Alemão. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.5";"5.1";"";"";"";"0.6";"0.01";"0.06";"0.7";"3.1";"0";"3.8";"18";"0";"62";"322";"231";"18.6";"0.5";"";"0.33";"0.22";"2.19";"";"7";"0.4";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BR-29, entre Rosário-Oeste e Vilhena, 43 km antes da Pensão do Alemão. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.5";"6.1";"";"";"";"0.6";"0.01";"0.06";"0.7";"1.2";"0";"1.9";"37";"0";"59";"328";"229";"19.6";"0.4";"";"0.31";"0.21";"2.25";"";"3.6";"0.2";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BR-29, entre Rosário-Oeste e Vilhena, 43 km antes da Pensão do Alemão. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.7";"6.4";"";"";"";"0.6";"0.01";"0.07";"0.7";"1.1";"0";"1.8";"39";"0";"58";"318";"233";"19.4";"0.4";"";"0.31";"0.21";"2.14";"";"2.6";"0.1";"26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BR-29, entre Rosário-Oeste e Vilhena, 43 km antes da Pensão do Alemão. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.8";"6.2";"";"";"";"0.6";"0.01";"0.06";"0.7";"1";"0";"1.7";"41";"0";"64";"336";"231";"21.1";"0.4";"";"0.32";"0.23";"2.28";"";"2.5";"0.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Rondonópolis-Coxim, 14 km do rio Poguba, a 200 m da estrada, lado direito. Município de Rondonópolis. Mato Grosso.";"MT";"Rondonópolis";"470";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.4";"4.3";"";"0.4";"1.3";"1.7";"0.41";"0.03";"2.1";"5.9";"1.3";"9.3";"23";"38";"171";"256";"61";"5.9";"0.8";"";"1.14";"0.99";"6.59";"2";"18.7";"1.2";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Rondonópolis-Coxim, 14 km do rio Poguba, a 200 m da estrada, lado direito. Município de Rondonópolis. Mato Grosso.";"MT";"Rondonópolis";"470";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.2";"4.3";"";"";"";"0.4";"0.11";"0.03";"0.5";"4.5";"1.6";"6.6";"8";"76";"155";"250";"61";"5.9";"0.6";"";"1.05";"0.91";"6.43";"1";"15.3";"1";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Rondonópolis-Coxim, 14 km do rio Poguba, a 200 m da estrada, lado direito. Município de Rondonópolis. Mato Grosso.";"MT";"Rondonópolis";"470";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.3";"4.3";"";"";"";"0.4";"0.08";"0.03";"0.5";"3.8";"1.2";"5.5";"9";"71";"159";"256";"62";"6.1";"0.6";"";"1.06";"0.91";"6.48";"1";"12.9";"0.8";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Rondonópolis-Coxim, 14 km do rio Poguba, a 200 m da estrada, lado direito. Município de Rondonópolis. Mato Grosso.";"MT";"Rondonópolis";"470";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.6";"4.5";"";"";"";"0.3";"0.09";"0.03";"0.4";"3.1";"0.8";"4.3";"9";"67";"169";"271";"72";"6";"0.6";"";"1.06";"0.91";"5.91";"1";"10.1";"0.6";"17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Rondonópolis-Coxim, 14 km do rio Poguba, a 200 m da estrada, lado direito. Município de Rondonópolis. Mato Grosso.";"MT";"Rondonópolis";"470";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.8";"4.7";"";"";"";"0.3";"0.05";"0.03";"0.4";"2.6";"0.4";"3.4";"12";"50";"176";"286";"68";"7.1";"0.5";"";"1.05";"0.91";"6.6";"1";"7.5";"0.5";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Rondonópolis-Coxim, 14 km do rio Poguba, a 200 m da estrada, lado direito. Município de Rondonópolis. Mato Grosso.";"MT";"Rondonópolis";"470";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"6.2";"5.2";"";"";"";"0.3";"0.06";"0.04";"0.4";"1.8";"0.2";"2.4";"17";"33";"174";"286";"72";"7";"0.5";"";"1.03";"0.89";"6.24";"1";"4.9";"0.3";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Rondonópolis-Coxim, 14 km do rio Poguba, a 200 m da estrada, lado direito. Município de Rondonópolis. Mato Grosso.";"MT";"Rondonópolis";"470";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"6.5";"5.6";"";"";"";"0.3";"0.03";"0.03";"0.4";"1";"0";"1.4";"29";"0";"185";"296";"78";"7.7";"0.5";"";"1.06";"0.91";"5.96";"1";"2.2";"0.2";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Porto Velho-Cuiabá, a 3 km da localidade denominada Sumidouro (Pensão do Alemão), lado esquerdo da estrada. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.5";"4.3";"";"";"";"0.4";"0.12";"0.01";"0.5";"1.7";"1.1";"3.3";"15";"69";"79";"108";"38";"4.6";"0.3";"";"1.24";"1.02";"4.46";"2";"13.7";"0.7";"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Porto Velho-Cuiabá, a 3 km da localidade denominada Sumidouro (Pensão do Alemão), lado esquerdo da estrada. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.5";"4.4";"";"";"";"0.2";"0.1";"0.02";"0.3";"3.7";"0.9";"4.9";"6";"75";"68";"101";"36";"4.1";"0.2";"";"1.14";"0.93";"4.4";"1";"11";"0.6";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Porto Velho-Cuiabá, a 3 km da localidade denominada Sumidouro (Pensão do Alemão), lado esquerdo da estrada. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.6";"4.5";"";"";"";"0.2";"0.04";"0.01";"0.3";"3";"0.7";"4";"8";"70";"74";"108";"39";"4.5";"0.2";"";"1.16";"0.95";"4.35";"1";"8.5";"0.4";"21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Porto Velho-Cuiabá, a 3 km da localidade denominada Sumidouro (Pensão do Alemão), lado esquerdo da estrada. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.5";"4.6";"";"";"";"0.2";"0.05";"0.01";"0.3";"2.8";"0.5";"3.6";"8";"63";"94";"135";"41";"5";"0.2";"";"1.18";"0.99";"5.17";"1";"7.3";"0.4";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Porto Velho-Cuiabá, a 3 km da localidade denominada Sumidouro (Pensão do Alemão), lado esquerdo da estrada. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.4";"4.8";"";"";"";"0.1";"0.04";"0.01";"0.2";"2";"0.3";"2.5";"8";"60";"105";"153";"50";"5.4";"0.2";"";"1.17";"0.97";"4.8";"1";"5.6";"0.3";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Porto Velho-Cuiabá, a 3 km da localidade denominada Sumidouro (Pensão do Alemão), lado esquerdo da estrada. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.7";"5.4";"";"";"";"0.1";"0.04";"0.01";"0.2";"1.5";"0";"1.7";"12";"0";"108";"160";"51";"5.6";"0.2";"";"1.15";"0.95";"4.93";"1";"4.4";"0.2";"22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Estrada Porto Velho-Cuiabá, a 3 km da localidade denominada Sumidouro (Pensão do Alemão), lado esquerdo da estrada. Município de Diamantino. Mato Grosso.";"MT";"Diamantino";"440";"Latitude / Longitude";"";"";"";"";"";"";"";"";"";"";"";"5.8";"6";"";"";"";"0.1";"0.05";"0.01";"0.2";"0.7";"0";"0.9";"22";"0";"116";"164";"55";"5";"0.2";"";"1.2";"0.99";"4.68";"1";"2.7";"0.2";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
